dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,rf,x5,3,-0.01591927886554163,0.0024486199430853606,-0.01805226615546509,-0.012819907881979311
friedman1,rolling,rf,x5,6,-0.015210631167796489,0.0006569494286702831,-0.015869239392683067,-0.014745228666762446
friedman1,rolling,rf,x5,8,-0.01541410777571329,0.0010203319396337705,-0.016405279141600018,-0.014645549396780451
friedman1,rolling,rf,x5,12,-0.01501800643463937,0.001191317729162027,-0.01587445644175697,-0.01408461013879019
friedman1,rolling,rf,x5,18,-0.015095720432477727,0.0009895772200196784,-0.015901239185154046,-0.014040124768145064
friedman1,rolling,rf,x5,30,-0.014578304199586244,0.0007780921856584514,-0.014906886746868152,-0.01393725980467498
friedman1,rolling,rf,x5,40,-0.014796777219448463,0.0006765786494850199,-0.01515920689172597,-0.013972520689542132
friedman1,rolling,rf,x5,60,-0.015230955460554899,0.0005498875987456441,-0.015695714573366992,-0.014646482246604095
friedman1,rolling,rf,x5,80,-0.014726579089376678,0.00033121240845009487,-0.01514754171230425,-0.014453870093111183
friedman1,rolling,rf,x5,100,-0.015193861253860094,0.0005535570551344953,-0.015748670917469725,-0.01461331878424951
friedman1,rolling,rf,x5,200,-0.015181730841303854,0.0003267273085383614,-0.01550023905187233,-0.014768785159615834
friedman1,rolling,rf,x5,500,-0.014953889732831353,0.00010861129191217612,-0.015073713491290493,-0.01487770692564843
friedman1,rolling,rf,x5,1000,-0.014982684876277635,0.00011842437320052456,-0.01505009626838638,-0.014966276880412435
friedman1,rolling,rf,x6,3,-0.002959034858594061,0.0003057534548961669,-0.0031892220107785315,-0.0026660686777842117
friedman1,rolling,rf,x6,6,-0.0027578129937585695,0.00025176700285469317,-0.0028987289131219285,-0.002534112387330558
friedman1,rolling,rf,x6,8,-0.002733582580567443,0.0002638853735906427,-0.002928388022243888,-0.0024625125657289164
friedman1,rolling,rf,x6,12,-0.0028355301323151087,0.00020984239141262563,-0.002970532362012626,-0.0026151166035228734
friedman1,rolling,rf,x6,18,-0.0027931864846366264,9.461743910174859e-05,-0.002885238578862035,-0.002684931027159201
friedman1,rolling,rf,x6,30,-0.0026380032918607832,6.901009316728886e-05,-0.0027053801239720196,-0.002586475923153529
friedman1,rolling,rf,x6,40,-0.002735499265469805,9.01113393684058e-05,-0.0028036283199086567,-0.002660103618611548
friedman1,rolling,rf,x6,60,-0.0027578065737374246,7.275460482522834e-05,-0.002833034848384128,-0.002696558393409847
friedman1,rolling,rf,x6,80,-0.002713541868807103,5.083095456685158e-05,-0.0027279494814014724,-0.0026641322019913135
friedman1,rolling,rf,x6,100,-0.0027505556587169313,6.716745592239024e-05,-0.00279156051923473,-0.002713033434099046
friedman1,rolling,rf,x6,200,-0.0027110012299274527,2.4496234023040296e-05,-0.002737615080225152,-0.002684783726989671
friedman1,rolling,rf,x6,500,-0.0027276388145679167,2.6017587609547725e-05,-0.0027518486610202605,-0.0027061056629928033
friedman1,rolling,rf,x6,1000,-0.002727590007595391,2.0410852762752674e-05,-0.0027422167727244174,-0.002706565971161561
friedman1,rolling,xgboost,x1,3,-1.4494486779055333,0.03437949445067045,-1.4742997337313066,-1.4183462621095333
friedman1,rolling,xgboost,x1,6,-1.450028455953022,0.012189810931001034,-1.460468183916031,-1.4378635489896534
friedman1,rolling,xgboost,x1,8,-1.4588432147722319,0.010534037323018587,-1.465875053123407,-1.4481129788165004
friedman1,rolling,xgboost,x1,12,-1.4689611825265598,0.01031661042527536,-1.4791472005812105,-1.4639478200587106
friedman1,rolling,xgboost,x1,18,-1.4627764972548518,0.0141030505147909,-1.4703057015885894,-1.4535103474934585
friedman1,rolling,xgboost,x1,30,-1.467094886294166,0.010321171972961686,-1.4740898029225393,-1.4585241796189623
friedman1,rolling,xgboost,x1,40,-1.4635078487462627,0.007336289768847008,-1.4696642034559884,-1.4568310262690016
friedman1,rolling,xgboost,x1,60,-1.464700386214549,0.007459998269937045,-1.469779830469485,-1.4561620225709784
friedman1,rolling,xgboost,x1,80,-1.4644853976871142,0.007548791954985394,-1.4693020030861117,-1.455945773181357
friedman1,rolling,xgboost,x1,100,-1.4619704557914575,0.004826179737709754,-1.4658586105390305,-1.4590057029992265
friedman1,rolling,xgboost,x1,200,-1.4627741842302622,0.0036592646364351266,-1.4653194312294737,-1.459694540245565
friedman1,rolling,xgboost,x1,500,-1.4636091268042024,0.0010531575634854689,-1.4646584039887565,-1.4629417312734354
friedman1,rolling,xgboost,x1,1000,-1.4641554961496435,0.0016861805790940186,-1.4649737459055423,-1.4631836114811234
