horizon,model,predictor,structural_zero,source
1,nn_comb,fred_dtcthfnm,False,all_retained_no_direct_invariance_evidence
1,nn_comb,fred_invest,False,all_retained_no_direct_invariance_evidence
1,nn_comb,soc_ics,False,all_retained_no_direct_invariance_evidence
1,nn_comb,soc_ice,False,all_retained_no_direct_invariance_evidence
1,nn_comb,soc_icc,False,all_retained_no_direct_invariance_evidence
1,nn_comb,ar,False,all_retained_no_direct_invariance_evidence
1,enet,fred_rpi,False,all_retained_no_direct_invariance_evidence
1,enet,fred_w875rx1,False,all_retained_no_direct_invariance_evidence
1,enet,fred_dpcera3m086sbea,False,all_retained_no_direct_invariance_evidence
1,enet,fred_cmrmtsplx,False,all_retained_no_direct_invariance_evidence
1,enet,fred_retailx,False,all_retained_no_direct_invariance_evidence
1,enet,fred_indpro,False,all_retained_no_direct_invariance_evidence
1,enet,fred_ipfpnss,False,all_retained_no_direct_invariance_evidence
1,enet,fred_ipfinal,False,all_retained_no_direct_invariance_evidence
1,enet,fred_ipcongd,False,all_retained_no_direct_invariance_evidence
1,enet,fred_ipdcongd,False,all_retained_no_direct_invariance_evidence
1,enet,fred_ipncongd,False,all_retained_no_direct_invariance_evidence
